Timestamp,RA,DEC,AZ,ALT,Status,Slew Status
2026-07-30T14:25:59.040971,07.994768,+59.08266,314.45530,+63.12022,0,0#
2026-07-30T14:26:00.087766,07.994761,+59.08267,314.45417,+63.11799,0,0#
2026-07-30T14:26:01.065902,07.994766,+59.08266,314.45313,+63.11597,0,0#
2026-07-30T14:26:02.041581,07.994767,+59.08266,314.45209,+63.11394,0,0#
2026-07-30T14:26:03.088333,07.994763,+59.08265,314.45094,+63.11173,0,0#
2026-07-30T14:26:04.062241,07.994764,+59.08265,314.44990,+63.10970,0,0#
2026-07-30T14:26:05.055837,07.994772,+59.08268,314.44894,+63.10768,0,0#
2026-07-30T14:26:06.022650,07.994767,+59.08268,314.44790,+63.10562,0,0#
2026-07-30T14:26:07.078559,07.994762,+59.08269,314.44676,+63.10337,0,0#
2026-07-30T14:26:08.028812,07.994763,+59.08266,314.44571,+63.10140,0,0#
2026-07-30T14:26:09.073398,07.994766,+59.08269,314.44465,+63.09922,0,0#
2026-07-30T14:26:10.059678,07.994763,+59.08267,314.44355,+63.09714,0,0#
2026-07-30T14:26:11.032980,07.994764,+59.08271,314.44260,+63.09511,0,0#
2026-07-30T14:26:12.085315,07.994767,+59.08269,314.44145,+63.09293,0,0#
2026-07-30T14:26:13.059870,07.994764,+59.08268,314.44039,+63.09087,0,0#
2026-07-30T14:26:14.033107,07.994771,+59.08266,314.43934,+63.08889,0,0#
2026-07-30T14:26:15.014468,07.994765,+59.08269,314.43833,+63.08679,0,0#
2026-07-30T14:26:16.064864,07.994762,+59.08268,314.43719,+63.08457,0,0#
2026-07-30T14:26:17.049609,07.994759,+59.08272,314.43622,+63.08248,0,0#
2026-07-30T14:26:18.062053,07.994758,+59.08268,314.43505,+63.08037,0,0#
2026-07-30T14:26:19.036522,07.994753,+59.08274,314.43413,+63.07828,0,0#
2026-07-30T14:26:20.054870,08.049504,+58.76047,313.94726,+63.56175,6,1#
2026-07-30T14:26:21.065468,08.488051,+56.18675,310.01202,+67.61778,6,1#
2026-07-30T14:26:22.078356,09.263842,+52.32408,304.88527,+75.25211,6,1#
2026-07-30T14:26:23.019651,09.965937,+48.70467,300.11122,+82.80156,6,1#
2026-07-30T14:26:24.031224,10.671214,+45.09281,114.99521,+89.12913,9,1#
2026-07-30T14:26:25.050093,11.357879,+41.81290,109.83820,+80.98110,6,1#
2026-07-30T14:26:26.057660,12.026173,+38.97169,104.74640,+72.92025,6,1#
2026-07-30T14:26:27.075442,12.700866,+36.50880,099.58337,+64.76068,6,1#
2026-07-30T14:26:28.063204,13.357452,+34.48173,094.58843,+56.86133,6,1#
2026-07-30T14:26:29.076921,14.037547,+32.70746,089.45017,+48.76090,6,1#
